binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,min max scaling,random label num 3,target,random label num 12,semi_constant_2,uniform corr 2,corr_feature_class,constant_1,semi_constant_1,pd qcut2,correlated w target 2,informative_2,outliers 1,duplicate_2,random choice 7,random choice 2,duplicate_1,pd qcut1,standard scaling,outliers 2,pd qcut3,constant_2,correlated w target 1,informative_1,uniform corr 1,multicollinearity 4,multicollinearity 2,multicollinearity 3,multicollinearity 1,random choice 4,class
,,,,001-772-621-0819x940,,220 Parker Glens Suite 068,Johnchester,WV,88403,,label num lo 2,-0.9042236742875389,,q_const_0,0.3664668926763177,,constant_value,q_const_0,Q2,3.43458024622591,-0.6638599972813359,1.7423986356195076,-0.6638599972813359,Sunday,Rand Choice 2,-0.9991017824896424,,69517.99990085537,,G4,constant_value,-2.1322493106219573,-0.9991017824896424,0.37069060971094564,,-0.48389692250491884,,-0.42175978797991603,,1
,Robert,,1975-03-26,,,1042 Walter Mount,Meredithchester,,99336,,label num lo 2,2.3243697830924814,label num hi 5,q_const_0,0.8677836722889134,0.8226134171090929,constant_value,q_const_0,Q3,4.463556084798295,1.153596854135379,,1.153596854135379,,Rand Choice 1,1.2466861830450993,High,,7.842422789423779,G5,constant_value,0.03490078009522546,1.2466861830450993,0.6658929701386576,1.2819915574861005,,,0.0998429493583309,,1
binary_2,William,,2022-09-11,,ramirezerin@example.org,,,,,,label num lo 1,1.7782165547025082,,q_const_0,0.611707159237203,,constant_value,q_const_0,Q3,,0.8593974662590766,0.9665429742927049,0.8593974662590766,Monday,Rand Choice 2,0.9627768269601935,High,52023.11712128838,,G5,constant_value,2.187984608850177,0.9627768269601935,0.6357197062029878,-1.456860552035124,,-1.6500013093206995,,,1
binary_2,,Montgomery,2005-02-02,749.232.2439,,,West Peter,,,563.7111467985479,label num lo 2,5.451234575139656,,q_const_0,,3.362734018831353,constant_value,q_const_0,Q4,,2.0336452879154674,-0.05850956321180367,2.0336452879154674,,Rand Choice 1,-2.9574409509433037,High,51027.10623353788,,G6,constant_value,1.1282097970633447,-2.9574409509433037,0.8990282078001058,-0.15626757728823576,,-1.2125873631049906,,East,1
binary_1,Brianna,Price,1922-03-17,,,2596 Velazquez Fords,Johnsonshire,MT,05527,567.7801768115987,label num lo 1,2.1539258469951807,label num hi 3,q_const_0,0.6103400233634867,,constant_value,q_const_0,,,1.05944863351561,,1.05944863351561,Saturday,Rand Choice 2,1.1411652716579705,,55470.681527419445,,G5,constant_value,1.9622114855433923,1.1411652716579705,,-0.5610542613880012,,,,,1
,Theresa,Harris,,997.663.5014x5924,,60405 Jordan Ranch Apt. 579,Sherrifurt,WA,57133,,label num lo 2,4.626787069235546,label num hi 9,q_const_0,0.9634517327555663,8.620994780522212,constant_value,q_const_0,Q4,,2.399635889224372,0.3270951579239203,2.399635889224372,,Rand Choice 1,2.485477863898728,High,59593.39104908437,,G6,constant_value,4.741657343361746,2.485477863898728,0.7325723518306749,-0.9380550456790154,0.10488987572670591,,,,1
binary_2,Andre,Sanchez,1944-11-23,773-368-5247x4538,,,,OR,62692,,label num lo 2,-1.187224231921867,label num hi 4,q_const_0,0.19928983412627993,2.242538660409191,constant_value,q_const_0,Q2,-0.943104548115168,-0.747560845179044,1.143744191443305,-0.747560845179044,,Rand Choice 1,-0.6479636736717482,,42422.39815862233,,G3,constant_value,2.8304010302712035,-0.6479636736717482,0.2217205147611595,-0.3644158495700134,0.44829671600235893,,-0.4893912663739213,West,0
,Ryan,Lopez,2019-08-23,,,6885 Wilkins Mills,Clarkville,MP,,,label num lo 3,-1.2663742921988783,,q_const_0,,4.174767346109944,constant_value,q_const_0,Q2,,-0.8182224427035356,0.9694001635699077,-0.8182224427035356,,Rand Choice 1,-0.8922328125534437,,,,G3,constant_value,-1.6414007181861618,-0.8922328125534437,0.42950962086566324,2.1113281207891412,0.3278934031051296,,2.074533372058729,,0
binary_2,Frank,,,7003318538,,,,,,378.0666269003636,label num lo 3,0.24111056261580815,label num hi 4,q_const_0,,,constant_value,q_const_0,Q3,-3.693196638861337,-0.09154666780661158,-1.047149378147453,-0.09154666780661158,Wednesday,Rand Choice 1,-0.7273359834485558,High,,,G4,constant_value,-1.6006260298197268,-0.7273359834485558,,0.07447254039460474,-1.443093536618964,0.4349206008105671,,,0
binary_1,,,,001-840-867-0904x889,,3041 Scott Fall Suite 253,Tonyport,,,,label num lo 2,-3.935564389564147,,q_const_0,0.2140957901760724,3.876050973796212,constant_value,q_const_0,Q1,-3.6443347048058885,-1.8069333466532713,0.6538723841048838,-1.8069333466532713,,Rand Choice 2,0.9753643211025785,,45013.48112603411,1.5991738339157715,G1,constant_value,-0.12981259646026078,0.9753643211025785,0.0920273435898577,0.5737337171404778,-1.336578693655018,0.13099328026464876,,South,0
,Alicia,,,,,,,,,,label num lo 3,1.4902846231827176,label num hi 11,q_const_0,,1.6730576165836357,constant_value,q_const_0,Q3,,0.6640066001907508,1.1356893523515963,0.6640066001907508,,Rand Choice 2,0.5210909070320509,,,0.13688865976204578,G5,constant_value,0.10830403214367745,0.5210909070320509,,-1.5507337892772128,-0.2195468658417458,-1.1520174670725263,0.5215109348003186,South,1
binary_2,Michael,,,001-886-432-3182x254,,218 Jenkins Dam Suite 437,Cassandrabury,,38445,,,2.0771778860489607,label num hi 8,q_const_0,,-0.5203016059572816,constant_value,q_const_0,Q3,,1.0453063757400651,-0.017890809224940945,1.0453063757400651,,,1.298410809303382,High,66695.55436348096,,G5,constant_value,0.22855618645369136,1.298410809303382,,,,0.6551145158939696,-0.49634416217998834,,1
,,Rosario,,(568)769-0787x227,,,Dianeshire,OR,61165,282.1520737562073,label num lo 1,-0.040395698188450624,,q_const_0,0.6092347256682801,-6.059076499466702,constant_value,q_const_0,Q2,0.14409182836469256,-0.21730425574735168,1.7933979065700496,-0.21730425574735168,Friday,Rand Choice 2,-0.6860766332166293,Low,43520.177845370425,7.304379477362833,G4,constant_value,0.12114602079394904,-0.6860766332166293,,-0.8850584502396016,-0.14063959758823252,,,North,0
binary_2,Russell,Mendoza,,001-279-682-0812,,1892 Mills Brook,Port Christopher,,,,label num lo 2,5.165736554096395,,q_const_0,0.9052320896251924,0.9053689622702095,constant_value,q_const_0,,2.951252454124692,2.7119608896597107,0.5976749578662826,2.7119608896597107,Thursday,Rand Choice 1,2.9251395877620867,High,,,G6,constant_value,4.568758541918855,2.9251395877620867,0.815820221240982,0.8008434721312485,0.035110810071395604,1.055863298131854,0.25763810830920036,,1
,,,,522-591-9343,,5053 Bianca Glen,North Whitneyland,,00941,357.7785039903287,label num lo 1,3.191931923824756,label num hi 9,q_const_0,0.8205250929537098,9.20971499164087,constant_value,q_const_0,Q4,,1.646367141258015,,1.646367141258015,Friday,Rand Choice 1,1.882030027039841,High,51775.76713339981,,G6,constant_value,0.9120609910704556,1.882030027039841,0.9702937586795227,0.5695086853755236,-0.6606641808971512,0.7831168912478224,-0.11656994224897614,East,1
binary_1,Kelly,Fletcher,,,mhowell@example.net,49980 Patrick Crescent,Lake Hector,MS,,,label num lo 3,2.1641534122695396,,q_const_0,0.8692888338134774,1.6058892612184286,constant_value,q_const_0,Q3,,1.0474848470309324,0.5008782246177378,1.0474848470309324,Saturday,Rand Choice 2,1.0198391116840506,High,45463.664442322304,,G5,constant_value,0.309047913261976,1.0198391116840506,,-1.405406795372878,,-0.6762425073115744,-0.061542162062084495,North,1
binary_1,Jamie,,1977-05-17,(386)954-7841,charles45@example.org,,South Brettborough,,13398,,label num lo 3,-1.5917313144198166,,q_const_0,,0.8994182031945313,constant_value,q_const_0,,-0.7024621124156003,-0.8983006964065531,0.512353451478208,-0.8983006964065531,,Rand Choice 1,-0.3714869425311782,Low,37542.236166371615,2.547749288498976,G3,constant_value,-1.6634053849355444,-0.3714869425311782,0.6825359064073719,0.32787475100815083,,0.07573348290179355,,East,0
binary_1,Alexandra,,1919-02-26,,,257 Cooper Stream Apt. 100,Lake Brianshire,IL,72574,345.55216225043335,,4.171443967670781,label num hi 9,q_const_0,0.7001586860436582,-0.3981026948415125,constant_value,q_const_0,Q4,-0.8049103241041564,1.5115778404585067,-0.2537315814663879,1.5115778404585067,Tuesday,Rand Choice 2,-2.409975872086312,High,38640.38975465615,0.4224413076004403,G6,constant_value,2.654279123346085,-2.409975872086312,0.3509358394046289,-0.6572245405528374,,,1.3752078299615544,East,1
