binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,random label num 3,target,random label num 12,semi_constant_2,uniform corr 2,corr_feature_class,constant_1,semi_constant_1,pd qcut2,correlated w target 2,informative_2,outliers 1,duplicate_2,random choice 7,random choice 2,duplicate_1,pd qcut1,outliers 2,pd qcut3,constant_2,correlated w target 1,informative_1,uniform corr 1,multicollinearity 4,multicollinearity 2,multicollinearity 3,multicollinearity 1,random choice 4,class,scaling_combined
,,,,001-772-621-0819x940,,220 Parker Glens Suite 068,Johnchester,WV,88403.0,label num lo 2,-0.9042236742875388,,q_const_0,0.3664668926763177,,constant_value,q_const_0,Q2,3.43458024622591,-0.6638599972813359,1.7423986356195076,-0.6638599972813359,Sunday,Rand Choice 2,-0.9991017824896424,,,G4,constant_value,-2.1322493106219573,-0.9991017824896424,0.3706906097109456,,-0.4838969225049188,,-0.421759787979916,,1,
,Robert,,1975-03-26,,,1042 Walter Mount,Meredithchester,,99336.0,label num lo 2,2.3243697830924814,label num hi 5,q_const_0,0.8677836722889134,0.8226134171090929,constant_value,q_const_0,Q3,4.463556084798295,1.153596854135379,,1.153596854135379,,Rand Choice 1,1.2466861830450993,High,7.842422789423779,G5,constant_value,0.0349007800952254,1.2466861830450993,0.6658929701386576,1.2819915574861005,,,0.0998429493583309,,1,
binary_2,William,,2022-09-11,,ramirezerin@example.org,,,,,label num lo 1,1.7782165547025082,,q_const_0,0.611707159237203,,constant_value,q_const_0,Q3,,0.8593974662590766,0.9665429742927047,0.8593974662590766,Monday,Rand Choice 2,0.9627768269601936,High,,G5,constant_value,2.187984608850177,0.9627768269601936,0.6357197062029878,-1.456860552035124,,-1.6500013093206995,,,1,
binary_2,,Montgomery,2005-02-02,749.232.2439,,,West Peter,,,label num lo 2,5.451234575139656,,q_const_0,,3.362734018831353,constant_value,q_const_0,Q4,,2.0336452879154674,-0.0585095632118036,2.0336452879154674,,Rand Choice 1,-2.9574409509433037,High,,G6,constant_value,1.128209797063345,-2.9574409509433037,0.8990282078001058,-0.1562675772882357,,-1.2125873631049906,,East,1,51590.817380336426
binary_1,Brianna,Price,1922-03-17,,,2596 Velazquez Fords,Johnsonshire,MT,5527.0,label num lo 1,2.1539258469951807,label num hi 3,q_const_0,0.6103400233634867,,constant_value,q_const_0,,,1.05944863351561,,1.05944863351561,Saturday,Rand Choice 2,1.1411652716579703,,,G5,constant_value,1.9622114855433923,1.1411652716579703,,-0.5610542613880012,,,,,1,56038.46170423104
,Theresa,Harris,,997.663.5014x5924,,60405 Jordan Ranch Apt. 579,Sherrifurt,WA,57133.0,label num lo 2,4.626787069235546,label num hi 9,q_const_0,0.9634517327555664,8.620994780522212,constant_value,q_const_0,Q4,,2.399635889224372,0.3270951579239203,2.399635889224372,,Rand Choice 1,2.485477863898728,High,,G6,constant_value,4.741657343361746,2.485477863898728,0.7325723518306749,-0.9380550456790154,0.1048898757267059,,,,1,
binary_2,Andre,Sanchez,1944-11-23,773-368-5247x4538,,,,OR,62692.0,label num lo 2,-1.187224231921867,label num hi 4,q_const_0,0.1992898341262799,2.242538660409191,constant_value,q_const_0,Q2,-0.943104548115168,-0.747560845179044,1.143744191443305,-0.747560845179044,,Rand Choice 1,-0.6479636736717482,,,G3,constant_value,2.8304010302712035,-0.6479636736717482,0.2217205147611595,-0.3644158495700134,0.4482967160023589,,-0.4893912663739213,West,0,
,Ryan,Lopez,2019-08-23,,,6885 Wilkins Mills,Clarkville,MP,,label num lo 3,-1.2663742921988783,,q_const_0,,4.174767346109944,constant_value,q_const_0,Q2,,-0.8182224427035356,0.9694001635699075,-0.8182224427035356,,Rand Choice 1,-0.8922328125534437,,,G3,constant_value,-1.6414007181861618,-0.8922328125534437,0.4295096208656632,2.1113281207891412,0.3278934031051296,,2.074533372058729,,0,
binary_2,Frank,,,7003318538,,,,,,label num lo 3,0.2411105626158081,label num hi 4,q_const_0,,,constant_value,q_const_0,Q3,-3.693196638861337,-0.0915466678066115,-1.047149378147453,-0.0915466678066115,Wednesday,Rand Choice 1,-0.7273359834485558,High,,G4,constant_value,-1.6006260298197268,-0.7273359834485558,,0.0744725403946047,-1.443093536618964,0.4349206008105671,,,0,
binary_1,,,,001-840-867-0904x889,,3041 Scott Fall Suite 253,Tonyport,,,label num lo 2,-3.935564389564147,,q_const_0,0.2140957901760724,3.876050973796212,constant_value,q_const_0,Q1,-3.644334704805889,-1.806933346653271,0.6538723841048838,-1.806933346653271,,Rand Choice 2,0.9753643211025784,,1.5991738339157715,G1,constant_value,-0.1298125964602607,0.9753643211025784,0.0920273435898577,0.5737337171404778,-1.336578693655018,0.1309932802646487,,South,0,
